"TOA5","138g10-SWL-T Reynolds West Toeslope","CR1000","43536","CR1000.Std.32.04","CPU:Reynolds_West_Toeslope.1.0.CR1","53294","Table2"
"TIMESTAMP","RECORD","BattV_Min","O2_Avg(1)","O2_Avg(2)","O2_Avg(3)","CO2_1_Avg","CO2_2_Avg","CO2_3_Avg","TDR310_1_VWC_Avg","TDR310_1_Temp_Avg","TDR310_1_Ka_Avg","TDR310_1_ECb_Avg","TDR310_1_ECw_Avg","TDR310_2_VWC_Avg","TDR310_2_Temp_Avg","TDR310_2_Ka_Avg","TDR310_2_ECb_Avg","TDR310_2_ECw_Avg","TDR310_3_VWC_Avg","TDR310_3_Temp_Avg","TDR310_3_Ka_Avg","TDR310_3_ECb_Avg","TDR310_3_ECw_Avg","O2_Std(1)","O2_Std(2)","O2_Std(3)","CO2_1_Std","CO2_2_Std","CO2_3_Std","TDR310_1_VWC_Std","TDR310_1_Temp_Std","TDR310_1_Ka_Std","TDR310_1_ECb_Std","TDR310_1_ECw_Std","TDR310_2_VWC_Std","TDR310_2_Temp_Std","TDR310_2_Ka_Std","TDR310_2_ECb_Std","TDR310_2_ECw_Std","TDR310_3_VWC_Std","TDR310_3_Temp_Std","TDR310_3_Ka_Std","TDR310_3_ECb_Std","TDR310_3_ECw_Std"
"TS","RN","Volts","mV","mV","mV","","","","","","","","","","","","","","","","","","","mV","mV","mV","","","","","","","","","","","","","","","","","",""
"","","Min","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std"
"TOA5","SWL-T","CR1000","43536","CR1000.Std.32.04","CPU:Reynolds_West_Toeslope.1.0.CR1","53294","Table2"
"TIMESTAMP","RECORD","BattV_Min","O2_Avg(1)","O2_Avg(2)","O2_Avg(3)","CO2_1_Avg","CO2_2_Avg","CO2_3_Avg","TDR310_1_VWC_Avg","TDR310_1_Temp_Avg","TDR310_1_Ka_Avg","TDR310_1_ECb_Avg","TDR310_1_ECw_Avg","TDR310_2_VWC_Avg","TDR310_2_Temp_Avg","TDR310_2_Ka_Avg","TDR310_2_ECb_Avg","TDR310_2_ECw_Avg","TDR310_3_VWC_Avg","TDR310_3_Temp_Avg","TDR310_3_Ka_Avg","TDR310_3_ECb_Avg","TDR310_3_ECw_Avg","O2_Std(1)","O2_Std(2)","O2_Std(3)","CO2_1_Std","CO2_2_Std","CO2_3_Std","TDR310_1_VWC_Std","TDR310_1_Temp_Std","TDR310_1_Ka_Std","TDR310_1_ECb_Std","TDR310_1_ECw_Std","TDR310_2_VWC_Std","TDR310_2_Temp_Std","TDR310_2_Ka_Std","TDR310_2_ECb_Std","TDR310_2_ECw_Std","TDR310_3_VWC_Std","TDR310_3_Temp_Std","TDR310_3_Ka_Std","TDR310_3_ECb_Std","TDR310_3_ECw_Std"
"TS","RN","Volts","mV","mV","mV","","","","","","","","","","","","","","","","","","","mV","mV","mV","","","","","","","","","","","","","","","","","",""
"","","Min","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std"
"2021-12-08 11:00:00",1290,13.13,39.14,39.57,38.46,927.8499,1598.202,2683.043,5.335,-0.3,3.935,38.95,1157.8,5.051666,2.2,3.806667,32.05,939.4667,2.17,6.8,2.656667,38.4,1025.7,0,0.105,0,2.447887,2.57792,3.733,0.04769691,0,0.04769691,0.6689544,20.17077,0.06189142,0,0.02494442,1.071214,32.02107,0.4120275,0,0.1745152,0.9865766,28.22841
"2021-12-08 12:00:00",1291,13.48,39.14,39.5,38.46,926.7419,1595.581,2681.723,5.321666,-0.3,3.921667,38.7,1149.833,5.056666,2.2,3.806667,32,938.15,2.308333,6.8,2.718333,38.5,1030.933,0.002,0.058,0.002,3.026816,2.833314,3.727,0.04119731,0,0.04119731,0.6403124,19.04745,0.06155389,0,0.02494442,1.183216,35.10357,0.5863138,0,0.2466386,1.024695,29.85681
"2021-12-08 13:00:00",1292,14.11,39.14,39.48,38.46,921.4422,1592.382,2679.223,5.326667,-0.3,3.926666,38.68333,1149.533,5.041666,2.2,3.803333,31.91667,935.0167,2.458333,6.8,2.776666,38.48333,1033.567,0,0,0,3.40351,2.993226,4.061,0.04422162,0,0.04422162,0.7186021,21.71671,0.05565263,0,0.01795057,1.144431,34.08054,0.7144443,0,0.2990912,0.957282,26.80943
"2021-12-08 14:00:00",1293,14.42,39.14,39.48,38.46,918.4631,1590.467,2676.222,5.318334,-0.3,3.918333,38.75,1151.017,5.045,2.2,3.801666,31.96667,936.5,2.331666,6.8,2.728333,38.41667,1029.283,0,0,0,2.914202,2.735416,3.831,0.03869392,0,0.03869392,0.887412,26.49119,0.05299366,0,0.01280193,1.064059,30.91898,0.6135938,0,0.2576119,0.8998457,27.71647
