"TOA5","NB-T","CR1000","47949","CR1000.Std.32.04","CPU:Reynolds_Noth_Midslope.CR1","65104","Table2"
"TIMESTAMP","RECORD","BattV_Min","O2_Avg(1)","O2_Avg(2)","CO2_1_Avg","CO2_2_Avg","TDR310_1_Temp_Avg","TDR310_1_Ka_Avg","TDR310_1_ECb_Avg","TDR310_1_ECw_Avg","TDR310_2_VWC_Avg","TDR310_2_Temp_Avg","TDR310_2_Ka_Avg","TDR310_2_ECb_Avg","TDR310_2_ECw_Avg","O2_Std(1)","O2_Std(2)","CO2_1_Std","CO2_2_Std","TDR310_1_VWC_Std","TDR310_1_Temp_Std","TDR310_1_Ka_Std","TDR310_1_ECb_Std","TDR310_1_ECw_Std","TDR310_2_VWC_Std","TDR310_2_Temp_Std","TDR310_2_Ka_Std","TDR310_2_ECb_Std","TDR310_2_ECw_Std"
"TS","RN","Volts","mV","mV","","","","","","","","","","","","mV","mV","","","","","","","","","","","",""
"","","Min","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std"
"2021-10-06 16:00:00",0,13.58,-23.92,-590.7,0,0,0,0,0,0,0,0,0,0,0,4.444,110.1,0,0,0,0,0,0,0,0,0,0,0,0
"2021-10-29 13:00:00",1,14.17,41.26,-342.8,"NAN",0,6.3,10.96,149,1707.6,0,0,0,0,0,0,69.06,"NAN",0,0.07483281,0,0.04898998,1.095445,13.45511,0,0,0,0,0
"2021-10-29 14:00:00",2,13.77,41.26,-345.9,"NAN",0,6.563333,10.92833,150.6167,1733.6,0,0,0,0,0,0,74.29,"NAN",0,0.09397099,0.1482864,0.05193491,1.212321,17.74936,0,0,0,0,0
"2021-10-29 15:00:00",3,13.76,41.26,-244.9,"NAN",0,7.038333,10.95667,152.2667,1744.4,0,0,0,0,0,0,17.25,"NAN",0,0.08975234,0.1367377,0.04955375,1.093415,16.87325,0,0,0,0,0
"2021-10-29 16:00:00",4,13.76,41.26,-205.9,"NAN",0,7.425,10.96333,152.9333,1752.083,0,0,0,0,0,0.002,8.6,"NAN",0,0.07340872,0.09242105,0.04818963,1.093415,16.14031,0,0,0,0,0
"2021-10-29 17:00:00",5,13.64,41.27,-188.5,"NAN",0,7.675,10.96,153.4667,1758.367,0,0,0,0,0,0.003,3.176,"NAN",0,0.080605,0.07216885,0.04898998,1.117537,15.8261,0,0,0,0,0
"2021-10-29 18:00:00",6,13.31,41.28,-176.7,"NAN",0,7.8,10.94667,153.3667,1760.117,0,0,0,0,0,0.005,3.448,"NAN",0,0.07808448,0,0.04988895,0.9303524,14.87738,0,0,0,0,0
"2021-10-29 19:00:00",7,13.21,41.29,-167.9,"NAN",0,7.8,10.95167,153.1667,1759.583,0,0,0,0,0,0.003,2.256,"NAN",0,0.08450841,0,0.0499724,0.9860133,15.532,0,0,0,0,0
"2021-10-29 20:00:00",8,13.16,41.29,-163.9,"NAN",0,7.663333,10.92333,151.8333,1750.033,0,0,0,0,0,0.001,2.052,"NAN",0,0.06950246,0.05467072,0.04229541,1.171419,15.61726,0,0,0,0,0
